baseline 'main' (ad7fcc1affd0746a, 391 forecast dates from 1994-03-01) against this run (43ab429af4c39560, 391 from 1994-03-01)
168 IDENTICAL  0 NUMERICAL  219 MOVED  0 REMOVED  0 ADDED
a difference is NUMERICAL up to 1e-09 in absolute value and MOVED above it; every categorical difference is MOVED
2 of the MOVED are categorical -- a verdict, a failing gate or the run's identity -- and are listed first

categorical fields that moved -- read these first:
band   section   row  field               baseline                                 this run                     difference
-----  --------  ---  ------------------  ---------------------------------------  ---------------------------  ----------
MOVED  horizons  120  failing_gates       skill, calibration, robustness, honesty  skill, calibration, honesty
MOVED  run            configuration_hash  ad7fcc1affd0746a                         43ab429af4c39560

numeric fields, largest difference first:
band   section     row                                                               field                       baseline         this run          difference
-----  ----------  ----------------------------------------------------------------  --------------------------  ---------------  ----------------  ----------
MOVED  indicators  economy_in_recession_within_horizon @ 120                         brier_score                 0.1214770125     0.0550332391      -6.644e-02
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 12                 expected_calibration_error  0.127071366      0.06292516127     -6.415e-02
MOVED  indicators  unemployment_rate_above_seven_percent_within_horizon @ 12         expected_calibration_error  0.1198740626     0.1821399675      +6.227e-02
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 60          reliability                 0.1804026883     0.2408555219      +6.045e-02
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 60                 brier_score                 0.3511634549     0.2912703485      -5.989e-02
MOVED  indicators  unemployment_rate_above_five_percent_at_horizon @ 120             area_under_the_curve        0.3959238223     0.4553402383      +5.942e-02
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 12   area_under_the_curve        0.7403036577     0.680952381       -5.935e-02
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 60             reliability                 0.09563370531    0.1537572686      +5.812e-02
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 120            area_under_the_curve        0.3188492063     0.3742857143      +5.544e-02
MOVED  indicators  unemployment_rate_above_seven_percent_within_horizon @ 60         area_under_the_curve        0.4843699775     0.4290822887      -5.529e-02
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 120  reliability                 0.1713590463     0.1162223426      -5.514e-02
MOVED  indicators  unemployment_rate_above_seven_percent_within_horizon @ 12         logarithmic_loss            0.3711055719     0.4259780941      +5.487e-02
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 60             brier_score                 0.2647102757     0.3183834594      +5.367e-02
MOVED  horizons    60                                                                skill_upper_bound           0.2180460641     0.1666728545      -5.137e-02
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 12          brier_score                 0.1286277113     0.1799662786      +5.134e-02
MOVED  indicators  unemployment_rate_above_five_percent_at_horizon @ 60              logarithmic_loss            0.87332964       0.8225138707      -5.082e-02
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 12   expected_calibration_error  0.1026161887     0.152974644       +5.036e-02
MOVED  indicators  unemployment_rate_above_seven_percent_within_horizon @ 120        expected_calibration_error  0.1751063247     0.1255449581      -4.956e-02
MOVED  indicators  economy_in_recession_at_horizon_date @ 120                        logarithmic_loss            0.310028032      0.3591382218      +4.911e-02
MOVED  indicators  economy_in_recession_within_horizon @ 12                          brier_skill_score           0.2478328886     0.296889892       +4.906e-02
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 120  area_under_the_curve        0.1333848636     0.1814087915      +4.802e-02
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 120  brier_score                 0.3169689134     0.2703136957      -4.666e-02
