baseline 'main' (ad7fcc1affd0746a, 391 forecast dates from 1994-03-01) against this run (9632ee1193541d34, 391 from 1994-03-01)
109 IDENTICAL  0 NUMERICAL  278 MOVED  0 REMOVED  0 ADDED
a difference is NUMERICAL up to 1e-09 in absolute value and MOVED above it; every categorical difference is MOVED
2 of the MOVED are categorical -- a verdict, a failing gate or the run's identity -- and are listed first

categorical fields that moved -- read these first:
band   section  row  field               baseline          this run          difference
-----  -------  ---  ------------------  ----------------  ----------------  ----------
MOVED  run           configuration_hash  ad7fcc1affd0746a  9632ee1193541d34
MOVED  run           state_count         6                 4

numeric fields, largest difference first:
band   section     row                                                               field                        baseline         this run         difference
-----  ----------  ----------------------------------------------------------------  ---------------------------  ---------------  ---------------  ----------
MOVED  indicators  unemployment_rate_above_seven_percent_within_horizon @ 60         expected_calibration_error   0.2229308879     0.2904665037     +6.754e-02
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 120            area_under_the_curve         0.3188492063     0.2515873016     -6.726e-02
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 120            reliability                  0.1632338683     0.2303924343     +6.716e-02
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 12   expected_calibration_error   0.1026161887     0.0359749642     -6.664e-02
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 120            logarithmic_loss             0.852763111      0.918296834      +6.553e-02
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 120  reliability                  0.1713590463     0.1070226478     -6.434e-02
MOVED  indicators  economy_in_recession_within_horizon @ 60                          logarithmic_loss             0.9869956128     0.9235805585     -6.342e-02
MOVED  indicators  unemployment_rate_above_five_percent_at_horizon @ 12              mean_distance_to_stationary  0.4173439658     0.3541041503     -6.324e-02
MOVED  indicators  economy_in_recession_at_horizon_date @ 12                         mean_distance_to_stationary  0.4173343844     0.3541117948     -6.322e-02
MOVED  indicators  economy_in_recession_within_horizon @ 12                          mean_distance_to_stationary  0.4173343844     0.3541117948     -6.322e-02
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 12             mean_distance_to_stationary  0.4173343844     0.3541117948     -6.322e-02
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 12          mean_distance_to_stationary  0.4173343844     0.3541117948     -6.322e-02
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 12                 mean_distance_to_stationary  0.4173343844     0.3541117948     -6.322e-02
MOVED  indicators  consumer_price_inflation_above_three_percent_at_horizon @ 12      mean_distance_to_stationary  0.4173222227     0.3542023165     -6.312e-02
MOVED  indicators  industrial_production_growth_above_two_percent_at_horizon @ 12    mean_distance_to_stationary  0.4173126736     0.3542097209     -6.310e-02
MOVED  indicators  consumer_price_inflation_above_three_percent_at_horizon @ 120     brier_skill_score            0.04470016248    0.1077529471     +6.305e-02
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 12   mean_distance_to_stationary  0.4172544946     0.3547622175     -6.249e-02
MOVED  indicators  unemployment_rate_above_seven_percent_within_horizon @ 12         mean_distance_to_stationary  0.4172544946     0.3547622175     -6.249e-02
MOVED  indicators  unemployment_rate_above_seven_percent_within_horizon @ 12         area_under_the_curve         0.8026683087     0.7408456486     -6.182e-02
MOVED  indicators  unemployment_rate_above_five_percent_at_horizon @ 12              expected_calibration_error   0.2791819008     0.2179764795     -6.121e-02
